"HK2 Logo","HK2 Logo"
"HK2 Extensions Suite for Magento","HK2 Extensions Suite for Magento"
"Lightweight, Magento-friendly free and open-source modules.","Lightweight, Magento-friendly free and open-source modules."
"Website","Website"
"LinkedIn","LinkedIn"
"Support","Support"
"❤️ Donate","❤️ Donate"
"About HK2 Extensions","About HK2 Extensions"
